supplier_id,data_referencia,score_confiabilidade,atraso_medio,perc_reclamacoes_abertas,classificacao_risco
1238654000110,2025-02-01,93.24,0.0,0.0,Confiável
1238654000110,2025-03-01,91.59,0.0,0.0,Confiável
1238654000110,2025-04-01,91.14,0.0,0.0,Confiável
1238654000110,2025-05-01,91.87,0.0,0.0,Confiável
1238654000110,2025-06-01,93.7,0.0,0.0,Confiável
1238654000110,2025-07-01,92.09,0.0,0.0,Confiável
1238654000110,2025-08-01,95.08,0.0,0.0,Confiável
1238654000110,2025-09-01,94.54,0.0,0.0,Confiável
1238654000110,2025-10-01,94.49,0.0,0.0,Confiável
1238654000110,2025-11-01,93.0,0.0,0.0,Confiável
1238654000110,2025-12-01,88.15,0.0,0.0,Confiável
1238654000110,2026-01-01,89.92,0.0,0.0,Confiável
1243789000174,2025-02-01,93.47,0.0,0.0,Confiável
1243789000174,2025-03-01,89.91,0.0,0.0,Confiável
1243789000174,2025-04-01,87.05,0.0,0.0,Confiável
1243789000174,2025-05-01,85.08,0.0,0.0,Confiável
1243789000174,2025-06-01,78.95,0.0,0.0,Atenção
1243789000174,2025-07-01,74.89,0.0,0.0,Atenção
1243789000174,2025-08-01,73.48,0.0,0.0,Atenção
1243789000174,2025-09-01,67.97,0.0,0.0,Atenção
1243789000174,2025-10-01,65.56,0.0,0.0,Atenção
1243789000174,2025-11-01,59.85,0.0,0.0,Atenção
1243789000174,2025-12-01,57.78,0.0,0.0,Alto Risco
1243789000174,2026-01-01,54.71,0.0,0.0,Alto Risco
1248573000100,2025-02-01,90.27,2.0,0.0,Confiável
1248573000100,2025-03-01,91.1,2.0,0.0,Confiável
1248573000100,2025-04-01,88.13,2.0,0.0,Confiável
1248573000100,2025-05-01,85.01,2.0,0.0,Confiável
1248573000100,2025-06-01,83.91,2.0,0.0,Confiável
1248573000100,2025-07-01,84.71,2.0,0.0,Confiável
1248573000100,2025-08-01,81.18,2.0,0.0,Confiável
1248573000100,2025-09-01,79.8,2.0,0.0,Confiável
1248573000100,2025-10-01,79.16,2.0,0.0,Confiável
1248573000100,2025-11-01,79.04,2.0,0.0,Confiável
1248573000100,2025-12-01,77.9,2.0,0.0,Atenção
1248573000100,2026-01-01,75.66,2.0,0.0,Atenção
1295674000123,2025-02-01,94.84,1.0,0.0,Confiável
1295674000123,2025-03-01,96.52,1.0,0.0,Confiável
1295674000123,2025-04-01,95.87,1.0,0.0,Confiável
1295674000123,2025-05-01,91.53,1.0,0.0,Confiável
1295674000123,2025-06-01,93.9,1.0,0.0,Confiável
1295674000123,2025-07-01,97.21,1.0,0.0,Confiável
1295674000123,2025-08-01,93.99,1.0,0.0,Confiável
1295674000123,2025-09-01,93.47,1.0,0.0,Confiável
1295674000123,2025-10-01,96.2,1.0,0.0,Confiável
1295674000123,2025-11-01,100.0,1.0,0.0,Confiável
